lemma	anagrams
意味	['口心未音']
学校	['交子栄']
企業	['並人未止']
調査	['且周木言']
説明	['日脱言']
中心	['忠']
相談	['木炎目言']
障害	['口宰日邦']
結婚	['吉女日紙']
保護	['中伎木誰', '中伎椎言', '中伎言集', '中休支誰', '中休計隻', '中信支椎', '中信支集', '中休十又誰', '中休十言隻', '中信十又椎', '中信十又集', '中信十木隻']
市場	['一主巾易']
時期	['基寸明', '基日肘', '八寺旦骨', '基寸日月', '一八寺日骨', '八寸日王骨']
検討	['人合村言', '人口大村言', '人合寸木言', '人口大寸木言']
絶対	['寸紋色']
総合	['公心給']
検査	['且人合林', '且人口大林']
特定	['一守牛走']
目標	['相票']
調整	['周政束言']
材料	['才斗木米']
改正	['己政']
神経	['又社紳']
提出	['拙是']
直接	['且土女拉', '且士女拉', '一且十女拉']
機械	['幾戒林']
感情	['憾青']
記念	['今忌言', '今己心言']
女子	['好']
格好	['各女子木']
議員	['唄義言']
保育	['一休胎', '一休台月', '一仏口月木']
資格	['木次賂']
背景	['京北明', '京北日月']
直接	['且土女拉', '且士女拉', '一且十女拉']
保障	['休早部', '休早陪', '休十日部', '休十日陪']
審査	['宜木番']
保全	['人休呈']
一時	['寺旦', '寸日王']
解釈	['刃尺牛米角']
標準	['十椎漂', '十漂集', '椎汁票', '汁票集']
少女	['妙']
活躍	['口止濯舌']
緊張	['又弓糸臣長']
感染	['九心木減']
時計	['早詩', '十日詩', '寺早言', '十寺日言']
合計	['古大言', '一人古言', '人口土言', '人口士言', '十口大言', '一人十口言']
機構	['井再幾林']
概念	['今心既木']
記者	['己諸']
主体	['住本']
加工	['功口']
機器	['口品幾木犬']
権力	['勧木']
分類	['犬米頒']
基盤	['八段王皿舟']
取材	['又才木耳']
翌日	['羽音']
温度	['日渡皿']
支持	['寺技']
構築	['丼再工木机竹', '井再凡工林竹']
要件	['価女牛']
一旦	['二日']
土曜	['堆日羽']
保有	['休右月']
趣味	['取口未走', '又口未耳走']
体育	['一仏月本']
統合	['充給']
読者	['売諸']
合意	['口大心音', '一人口心音']
原理	['厘小皇']
顧客	['雇額']
吸収	['又及叫']
体系	['係本']
育児	['充旧月']
答弁	['二介台竹']
講師	['一井再帥言']
結合	['吉給']
早期	['八十旦骨', '八土日骨', '八士日骨', '一八十日骨']
講演	['一八宙溝言', '一溝由穴言', '一井再油穴言']
集合	['口大椎', '唯大木', '一人口椎', '一人唯木']
構想	['井再心木相', '井再心林目']
幹部	['人古干障', '人十口干障', '人十干早陪']
排出	['拙非']
路線	['口止泉絡']
平等	['坪寸竹']
農村	['曲木辱']
総会	['公心絵']
兵器	['丘八口品犬']
講習	['井再白羽言']
賠償	['位員賞', '位唄賞']
法則	['去測']
特例	['件列寺', '侍列牛']
意欲	['心欠谷音']
接触	['女拉虫角']
合格	['口各大木', '一人口各木']
認可	['口忍訂']
濃度	['渡農']
幸福	['一口平田社']
法的	['勺去泊']
同盟	['日皿胴']
共済	['斉洪']
見学	['子覚']
保管	['休口官竹']
誘導	['秀討道', '寸秀言道']
翻訳	['尺番羽言', '田羽言釈']
教員	['口孝敗']
業界	['並介未田']
体調	['信周本']
接種	['委拉重']
直線	['土泉組', '士泉組', '一十泉組']
書店	['上唐旦', '一上唐日']
日程	['呈香', '和旺']
同法	['去洞']
調節	['即周竹言']
子宮	['呂字']
衝突	['犬穴行重']
最悪	['亜又恥日', '亜取心日', '亜又心日耳']
木材	['才林']
移植	['土多木租', '士多木租', '一十多木租']
講義	['井再議']
警部	['敬言陪']
演技	['一又抽汁穴']
異議	['共田義言']
本件	['体牛']
歌詞	['可司吹訂', '口可司欠訂']
器具	['一且八口品犬']
期日	['八旦骨']
立法	['去泣']
木曜	['日椎羽', '日羽集']
調停	['亭信周']
明記	['己日月言']
儀式	['代工義']
内線	['泉納']
特集	['堆村牛', '寺椎牛', '堆寸木牛']
良好	['娘子']
支部	['十又陪']
集積	['木稚責']
石炭	['岩灰']
鑑定	['監錠']
好意	['女子心音']
包括	['抱舌']
経路	['又吐止絡']
大将	['奨']
大胆	['天明', '天日月']
動員	['賀重']
耐震	['辱需']
反論	['内又斤計', '内支斤言', '内十又斤言']
融合	['中二内虫西', '一中二兄内虫']
管轄	['官害竹車']
原油	['源由']
集計	['十木誰', '十椎言']
調味	['口周未言']
抽出	['拙由']
樹木	['十寸林豆']
細工	['田紅']
交際	['祭郊']
特異	['共寺牛田']
妄想	['女忘相', '女心木盲', '女忘木目']
教材	['孝才枚']
感性	['憾生']
主演	['一八宙注', '一注由穴']
種子	['季重']
阻害	['口宜邦']
公庫	['八広車']
解答	['召大牛竹角', '一人召牛竹角']
立体	['位本']
干渉	['歩汗']
好調	['周女子言']
計測	['則汁言']
学力	['労子']
付則	['側寸']
時価	['一中侍旧', '中付旧王']
一二	['三']
臓器	['口品月犬蔵', '口品月犬臣茂']
同等	['寺筒']
集約	['勺木維']
感激	['心放減白']
導体	['付本道']
常時	['堂寸巾日']
提唱	['一捉晶']
方言	['訪']
収縮	['又宿糾']
真相	['植貝', '八植目', '土査貝', '士査貝', '木直貝', '一十査貝', '且土木貝', '且士木貝', '八土査目', '八士査目', '八木目直', '具十木目', '一且十木貝', '一八十査目', '且八土木目', '且八士木目', '一且八十木目']
婚約	['勺女日紙']
格闘	['村豆閣', '各寸豆閑', '寸木豆閣']
診査	['且人杉言']
大腸	['天易月']
帳簿	['寸巾浦竹長']
機体	['休幾本']
資材	['木次財']
重力	['動']
増強	['去弓曽虫']
線路	['口止泉絡']
転倒	['伝到車']
演習	['油百穴羽', '一八宙泊羽', '一油白穴羽', '一泊由穴羽']
拠出	['処拙']
校舎	['交人吐木']
案件	['休安牛']
異動	['共男重']
模型	['刑墓木']
専業	['一並寸未由']
原型	['刑圧小白']
媒体	['休女本甘']
専念	['今寸恵', '一今寸心由']
公認	['忍訟']
過激	['放渦迫']
仲裁	['伐十衷']
回想	['口困心目']
